network,phase,game_num,round,blocker_strategy_id,adversary_strategy_id,blocker_q_max,adversary_q_max,norm_influence,network_type,source
BA-850-m4,train,2,28,0,1,0.41339985,-0.19030455,0.38682352941176473,BA,synthetic
BA-850-m4,train,2,29,0,1,0.43292907,-0.20637554,0.4091764705882353,BA,synthetic
BA-850-m4,train,3,0,3,3,-1.2098744,0.29536772,0.12352941176470589,BA,synthetic
BA-850-m4,train,3,1,3,3,-1.164155,0.28437948,0.18094117647058824,BA,synthetic
BA-850-m4,train,3,2,3,3,-1.1202961,0.2741947,0.15952941176470586,BA,synthetic
BA-850-m4,train,3,3,3,3,-1.0770277,0.26384178,0.22329411764705884,BA,synthetic
BA-850-m4,train,3,4,3,3,-1.0340686,0.25327528,0.25435294117647056,BA,synthetic
BA-850-m4,train,3,5,3,3,-0.99245733,0.24249144,0.23905882352941174,BA,synthetic
BA-850-m4,train,3,6,3,3,-0.9513694,0.23189604,0.2735294117647059,BA,synthetic
BA-850-m4,train,3,7,3,3,-0.9102117,0.22125398,0.29905882352941177,BA,synthetic
BA-850-m4,train,3,8,2,3,-0.8684043,0.21081816,0.30211764705882355,BA,synthetic
BA-850-m4,train,3,9,2,3,-0.8257574,0.19981313,0.33,BA,synthetic
BA-850-m4,train,3,10,2,3,-0.78313816,0.18848144,0.2817647058823529,BA,synthetic
BA-850-m4,train,3,11,2,3,-0.74080104,0.17690167,0.3089411764705883,BA,synthetic
BA-850-m4,train,3,12,2,2,-0.69926035,0.16635866,0.3427058823529412,BA,synthetic
BA-850-m4,train,3,13,2,2,-0.6571888,0.15803783,0.31411764705882356,BA,synthetic
BA-850-m4,train,3,14,2,2,-0.6152107,0.14913224,0.3315294117647059,BA,synthetic
BA-850-m4,train,3,15,2,2,-0.5686825,0.13833629,0.3287058823529411,BA,synthetic
BA-850-m4,train,3,16,2,1,-0.51901066,0.12980194,0.3356470588235294,BA,synthetic
BA-850-m4,train,3,17,2,1,-0.4630361,0.11983183,0.35247058823529415,BA,synthetic
BA-850-m4,train,3,18,2,1,-0.3954951,0.108763725,0.35670588235294115,BA,synthetic
BA-850-m4,train,3,19,2,1,-0.31561506,0.09083282,0.3607058823529412,BA,synthetic
BA-850-m4,train,3,20,2,1,-0.22886153,0.06581153,0.3588235294117647,BA,synthetic
BA-850-m4,train,3,21,2,1,-0.13664137,0.036125902,0.3884705882352941,BA,synthetic
BA-850-m4,train,3,22,0,1,-0.034512598,0.0026330128,0.3769411764705882,BA,synthetic
BA-850-m4,train,3,23,0,1,0.08014984,-0.03173697,0.3492941176470588,BA,synthetic
BA-850-m4,train,3,24,0,1,0.19527915,-0.06677065,0.3942352941176471,BA,synthetic
BA-850-m4,train,3,25,0,1,0.3073089,-0.101758875,0.3941176470588235,BA,synthetic
BA-850-m4,train,3,26,0,1,0.36729515,-0.13651419,0.382235294117647,BA,synthetic
BA-850-m4,train,3,27,0,1,0.39280674,-0.16809061,0.39682352941176474,BA,synthetic
BA-850-m4,train,3,28,0,1,0.41339985,-0.19030458,0.3811764705882353,BA,synthetic
BA-850-m4,train,3,29,0,1,0.432929,-0.20637554,0.4023529411764706,BA,synthetic
BA-850-m4,train,4,0,3,3,-1.2098744,0.29536772,0.07105882352941176,BA,synthetic
BA-850-m4,train,4,1,3,3,-1.1641551,0.28437945,0.15423529411764705,BA,synthetic
BA-850-m4,train,4,2,3,3,-1.1202961,0.27419466,0.23141176470588234,BA,synthetic
BA-850-m4,train,4,3,3,3,-1.0770277,0.26384178,0.2371764705882353,BA,synthetic
BA-850-m4,train,4,4,3,3,-1.0340686,0.25327528,0.26694117647058824,BA,synthetic
BA-850-m4,train,4,5,3,3,-0.9924573,0.24249144,0.23752941176470588,BA,synthetic
BA-850-m4,train,4,6,3,3,-0.9513693,0.23189601,0.2747058823529412,BA,synthetic
BA-850-m4,train,4,7,3,3,-0.9102117,0.22125396,0.3044705882352941,BA,synthetic
BA-850-m4,train,4,8,2,3,-0.8684044,0.21081814,0.3015294117647059,BA,synthetic
BA-850-m4,train,4,9,2,3,-0.8257574,0.19981313,0.29447058823529415,BA,synthetic
BA-850-m4,train,4,10,2,3,-0.78313816,0.18848142,0.29023529411764704,BA,synthetic
BA-850-m4,train,4,11,2,3,-0.7408011,0.17690168,0.32588235294117646,BA,synthetic
BA-850-m4,train,4,12,2,2,-0.69926023,0.1663587,0.3244705882352941,BA,synthetic
BA-850-m4,train,4,13,2,2,-0.6571887,0.15803784,0.35164705882352937,BA,synthetic
BA-850-m4,train,4,14,2,2,-0.6152107,0.14913222,0.33105882352941174,BA,synthetic
BA-850-m4,train,4,15,2,2,-0.56868255,0.13833632,0.3225882352941176,BA,synthetic
BA-850-m4,train,4,16,2,1,-0.51901066,0.12980196,0.36788235294117644,BA,synthetic
BA-850-m4,train,4,17,2,1,-0.46303615,0.11983183,0.3437647058823529,BA,synthetic
BA-850-m4,train,4,18,2,1,-0.3954951,0.10876372,0.3511764705882353,BA,synthetic
BA-850-m4,train,4,19,2,1,-0.31561506,0.090832815,0.3684705882352941,BA,synthetic
BA-850-m4,train,4,20,2,1,-0.22886153,0.06581153,0.3623529411764706,BA,synthetic
BA-850-m4,train,4,21,2,1,-0.13664141,0.036125895,0.38341176470588234,BA,synthetic
BA-850-m4,train,4,22,0,1,-0.034512598,0.0026330277,0.35600000000000004,BA,synthetic
BA-850-m4,train,4,23,0,1,0.08014981,-0.031736985,0.3788235294117647,BA,synthetic
BA-850-m4,train,4,24,0,1,0.19527914,-0.06677068,0.3776470588235294,BA,synthetic
BA-850-m4,train,4,25,0,1,0.30730894,-0.10175889,0.3795294117647059,BA,synthetic
BA-850-m4,train,4,26,0,1,0.36729518,-0.13651419,0.3803529411764706,BA,synthetic
